Store,Location
McDonald's Pinelands Drive-Thru,"Howard Centre, Forest Dr Service Rd · In Howard Centre · 021 531 4545"
McDonald's Strand Street,"Cape Town City Centre Cnr Strand Street &, 24A Long St"
McDonald's Maitland Drive-Thru,199 Voortrekker Rd · 021 510 1130
McDonald's Milnerton Drive-Thru,"Cnr Koeberg &, Bosmansdam Rd · 021 551 9905"
McDonald's Long Street,51 Main Rd · In Rondebosch Main Shopping Centre · 0860 000 040
McDonald's Rondebosch,
McDonald's Canal Walk,"Canal Walk Shopping Centre, Century Blvd · In Canal Walk · 021 552 0090"
McDonald's Vangate Drive-Thru,"Vangate Mall Cnr M7 &, Heideveld Rd · 021 637 5253"
McDonald's Claremont,"171&nbsp, Main Rd · 021 671 5445"
McDonald's Seapoint Drive-Thru,"Cnr Main Road &, The Glen · 021 433 2280"
McDonald’s Spin Street,"Cape Town City Centre Cnr Parliament Street &, Spin St · 021 422 1185"
